file_name,TP,FP,TN,FN,TPR,FPR,TNR,FNR,ACC,sensitivity,specificity,weighted_acc,real_x,real_y,real_radius
f01_1002_0.1963_0.3927,84,29,9422,65,0.5637583892617449,0.003068458364194265,0.9969315416358058,0.436241610738255,0.9902083333333334,0.5637583892617449,0.9969315416358058,0.7803449654487753,28.463597297668457,51.085370779037476,7.170625249464674
f01_1003_0.1963_0.1963,63,18,9469,50,0.5575221238938053,0.0018973331927901339,0.9981026668072098,0.4424778761061947,0.9929166666666667,0.5575221238938053,0.9981026668072098,0.7778123953505076,27.86768913269043,57.35704064369202,6.399867224648762
f01_1004_0.1963_-0.0000,113,0,9403,84,0.5736040609137056,0.0,1.0,0.4263959390862944,0.99125,0.5736040609137056,1.0,0.7868020304568528,28.634374141693115,63.98559808731079,8.584460213042895
f01_1005_0.1963_-0.1963,72,77,9374,77,0.48322147651006714,0.008147286001481326,0.9918527139985187,0.5167785234899329,0.9839583333333334,0.48322147651006714,0.9918527139985187,0.7375370952542929,28.335087299346924,70.63276648521423,7.246385277346781
f01_1010_-0.0000_0.5890,82,67,9384,67,0.5503355704697986,0.007089196910379854,0.9929108030896201,0.44966442953020136,0.9860416666666667,0.5503355704697986,0.9929108030896201,0.7716231867797094,34.695048332214355,45.26272416114807,7.169883965536142
f01_1011_-0.0000_0.3927,31,50,9401,118,0.2080536912751678,0.005290445455507354,0.9947095545444926,0.7919463087248322,0.9825,0.2080536912751678,0.9947095545444926,0.6013816229098302,34.75710153579712,50.93642592430115,7.244124298272151
f01_1012_-0.0000_0.1963,78,35,9452,35,0.6902654867256637,0.003689258985980816,0.9963107410140192,0.30973451327433627,0.9927083333333333,0.6902654867256637,0.9963107410140192,0.8432881138698414,34.48531150817871,57.34610080718994,6.4629319616144745
f01_1013_-0.0000_-0.0000,40,41,9478,41,0.49382716049382713,0.004307175123437336,0.9956928248765626,0.5061728395061729,0.9914583333333333,0.49382716049382713,0.9956928248765626,0.7447599926851949,34.2810845375061,63.93828749656677,5.8042411719462965
f01_1014_-0.0000_-0.1963,20,29,9422,129,0.1342281879194631,0.003068458364194265,0.9969315416358058,0.8657718120805369,0.9835416666666666,0.1342281879194631,0.9969315416358058,0.5655798647776344,34.86185312271118,70.61753153800964,7.34297652830604
f01_1019_-0.1963_0.5890,38,43,9476,43,0.4691358024691358,0.004517281227019645,0.9954827187729803,0.5308641975308642,0.9910416666666667,0.4691358024691358,0.9954827187729803,0.7323092606210581,39.56854224205017,45.044517517089844,5.242242188461267
f01_1020_-0.1963_0.3927,113,140,9347,0,1.0,0.014757035943923264,0.9852429640560767,0.0,0.9854166666666667,1.0,0.9852429640560767,0.9926214820280383,40.6979238986969,50.9699285030365,6.6192363511417724
f01_1021_-0.1963_0.1963,100,13,9474,13,0.8849557522123894,0.0013702961947928746,0.9986297038052071,0.11504424778761062,0.9972916666666667,0.8849557522123894,0.9986297038052071,0.9417927280087983,40.97573399543762,57.32859492301941,6.4814716251189814
f01_1022_-0.1963_-0.0000,86,27,9460,27,0.7610619469026548,0.002845999789185201,0.9971540002108148,0.23893805309734514,0.994375,0.7610619469026548,0.9971540002108148,0.8791079735567349,41.25904679298401,63.92717957496643,6.996495194663073
f01_1023_-0.1963_-0.1963,102,11,9440,47,0.6845637583892618,0.0011638980002116178,0.9988361019997883,0.31543624161073824,0.9939583333333334,0.6845637583892618,0.9988361019997883,0.841699930194525,41.16860508918762,70.58379650115967,7.08858824239207
f01_1028_-0.3927_0.5890,100,13,9474,13,0.8849557522123894,0.0013702961947928746,0.9986297038052071,0.11504424778761062,0.9972916666666667,0.8849557522123894,0.9986297038052071,0.9417927280087983,45.45860409736633,45.15099763870239,6.627360313035317
f01_1029_-0.3927_0.3927,60,137,9382,21,0.7407407407407407,0.014392268095388171,0.9856077319046118,0.25925925925925924,0.9835416666666666,0.7407407407407407,0.9856077319046118,0.8631742363226762,46.31802678108215,50.912736654281616,5.882695797888196
f01_1030_-0.3927_0.1963,72,9,9478,41,0.6371681415929203,0.0009486665963950669,0.999051333403605,0.36283185840707965,0.9947916666666666,0.6371681415929203,0.999051333403605,0.8181097374982627,47.31872916221619,57.28361964225769,6.74727206369888
f01_1031_-0.3927_-0.0000,77,4,9483,36,0.6814159292035398,0.0004216295983978075,0.9995783704016022,0.3185840707964602,0.9958333333333333,0.6814159292035398,0.9995783704016022,0.8404971498025711,47.50408172607422,63.93024444580078,6.801598222812041
f01_1032_-0.3927_-0.1963,81,0,9487,32,0.7168141592920354,0.0,1.0,0.2831858407079646,0.9966666666666667,0.7168141592920354,1.0,0.8584070796460177,46.915061473846436,70.59961438179016,6.111346659160295
f01_1037_-0.5890_0.5890,42,7,9512,39,0.5185185185185185,0.0007353713625380818,0.9992646286374619,0.48148148148148145,0.9952083333333334,0.5185185185185185,0.9992646286374619,0.7588915735779902,49.929715394973755,45.09537220001221,5.712005984627645
f01_1038_-0.5890_0.3927,66,15,9504,15,0.8148148148148148,0.001575795776867318,0.9984242042231327,0.18518518518518517,0.996875,0.8148148148148148,0.9984242042231327,0.9066195095189737,51.37991547584534,50.98996639251709,5.398971232075233
f01_1039_-0.5890_0.1963,12,37,9482,69,0.14814814814814814,0.0038869629162727177,0.9961130370837273,0.8518518518518519,0.9889583333333334,0.14814814814814814,0.9961130370837273,0.5721305926159377,52.55665421485901,57.337024211883545,5.925250009477287
