,center_error,radius_error,real_x,real_y,real_radius
count,11382.0,11382.0,11382.0,11382.0,11382.0
mean,4.78817688480822,1.4994712950368725,41.55309900183226,57.552789374596834,6.5905504562299555
std,3.0508054712164228,1.188032494185653,8.473966732303172,9.565995139495877,0.8118783736229382
min,0.0715980173346288,0.0005801823838575,23.85673999786377,35.55521249771118,3.761394164148519
25%,2.4259342989220123,0.6320564713522472,34.81385886669159,49.46813330054283,6.041527079496766
50%,4.120617375118437,1.2609225902724472,41.43017530441284,57.69427299499512,6.592674320702127
75%,6.649602403955821,2.0386244410599117,47.94833928346634,65.67642778158188,7.134207353764098
max,17.164077100621853,9.370547176046852,66.17892920970917,77.44850993156433,10.007018536304344
