,TP,FP,TN,FN,TPR,FPR,TNR,FNR,ACC,sensitivity,specificity,weighted_acc,real_x,real_y,real_radius
count,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0,11382.0
mean,58.253118959761025,65.47329116148305,9416.709980671236,59.56360920752065,0.49124855401849843,0.0069037572520113995,0.9930962427479887,0.5087514459815016,0.9869753228782288,0.49124855401849843,0.9930962427479887,0.7421723983832436,41.55309900183226,57.552789374596834,6.5905504562299555
std,35.57019660106193,71.96893482151806,76.96391789292352,35.1838050233695,0.27086015406979336,0.007590292943832666,0.007590292943832669,0.27086015406979336,0.007706364173190803,0.27086015406979336,0.007590292943832669,0.13485459810625142,8.473966732303172,9.565995139495877,0.8118783736229382
min,0.0,0.0,8886.0,0.0,0.0,0.0,0.9366501528407294,0.0,0.936875,0.0,0.9366501528407294,0.4867107889484189,23.85673999786377,35.55521249771118,3.761394164148519
25%,33.0,14.0,9384.0,35.0,0.2962962962962963,0.0014707427250761,0.9900917044376516,0.3185840707964602,0.9827083333333332,0.2962962962962963,0.9900917044376516,0.6451744399182486,34.81385886669159,49.46813330054283,6.041527079496766
50%,56.0,40.0,9438.0,59.0,0.495575221238938,0.0042323563644058,0.995767643635594,0.504424778761062,0.9889583333333334,0.495575221238938,0.995767643635594,0.7447599926851949,41.43017530441284,57.69427299499512,6.592674320702127
75%,81.0,94.0,9470.0,81.0,0.6814159292035398,0.0099082955623484,0.9985292572749238,0.7037037037037037,0.9929166666666668,0.6814159292035398,0.9985292572749238,0.8404971498025711,47.94833928346634,65.67642778158188,7.134207353764098
max,217.0,601.0,9551.0,226.0,1.0,0.0633498471592705,1.0,1.0,1.0,1.0,1.0,1.0,66.17892920970917,77.44850993156433,10.007018536304344
